fecha,producto_id,nombre,categoria,subcategoria,precio_base,es_estrella,unidades_vendidas,precio_venta,ingresos,Amazon,Decathlon,Deporvillage
2025-10-25,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,26.0,113.13,2941.38,89.51,113.43,104.78
2025-10-25,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,27.0,141.89,3831.03,128.73,112.91,122.88
2025-10-25,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,5.0,85.79,428.9500000000001,84.28,74.51,85.57
2025-10-25,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,3.0,76.19,228.57,75.54,70.32,71.13
2025-10-25,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,3.0,35.48,106.44,33.84,31.32,34.41
2025-10-25,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,1.0,64.32,64.32,65.84,57.47,63.14
2025-10-25,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,5.0,68.69,343.45,66.93,67.1,70.64
2025-10-25,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,5.0,64.7,323.5,62.39,59.33,66.25
2025-10-25,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,3.0,400.55,1201.65,414.66,359.91,360.14
2025-10-25,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,3.0,166.37,499.11,188.07,151.66,166.54
2025-10-25,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,7.0,45.63,319.41,47.39,41.76,46.15
2025-10-25,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,6.0,53.97,323.82,54.01,47.58,55.83
2025-10-25,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,1.0,24.78,24.78,24.71,23.51,24.36
2025-10-25,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,5.0,39.37,196.85,37.6,37.31,41.97
2025-10-25,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,6.0,147.95,887.6999999999999,144.02,135.81,126.36
2025-10-25,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,5.0,867.37,4336.85,757.9,712.51,823.95
2025-10-25,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,3.0,94.34,283.02,96.46,85.49,91.48
2025-10-25,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,3.0,70.82,212.46,76.45,66.23,68.6
2025-10-25,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,3.0,111.07,333.21,113.25,107.82,109.99
2025-10-25,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,1.0,81.49,81.49,71.2,74.71,76.59
2025-10-25,PROD_021,Manduka PRO Yoga Mat,Wellness,Esterilla Yoga,130,True,10.0,130.12,1301.2,127.1,105.56,133.69
2025-10-25,PROD_022,Gaiam Premium Yoga Block,Wellness,Bloque Yoga,20,False,3.0,20.37,61.11,21.17,17.59,20.78
2025-10-25,PROD_023,Liforme Yoga Pad,Wellness,Rodillera Yoga,35,False,1.0,35.23,35.23,34.31,31.34,35.93
2025-10-25,PROD_024,Lotuscrafts Yoga Bolster,Wellness,Cojín Yoga,50,False,1.0,49.14,49.14,53.85,44.49,51.65
2025-10-26,PROD_001,Nike Air Zoom Pegasus 40,Running,Zapatillas Running,115,True,20.0,105.75,2115.0,86.44,114.57,94.06
2025-10-26,PROD_002,Adidas Ultraboost 23,Running,Zapatillas Running,135,True,19.0,131.64,2501.16,116.17,114.82,117.19
2025-10-26,PROD_003,Asics Gel Nimbus 25,Running,Zapatillas Running,85,False,5.0,85.71,428.55,89.49,76.28,86.29
2025-10-26,PROD_004,New Balance Fresh Foam X 1080v12,Running,Zapatillas Running,75,False,1.0,75.68,75.68,76.97,71.4,75.0
2025-10-26,PROD_005,Nike Dri-FIT Miler,Running,Ropa Running,35,False,6.0,35.53,213.18,37.51,32.93,35.7
2025-10-26,PROD_006,Adidas Own The Run Jacket,Running,Ropa Running,65,False,1.0,66.03,66.03,71.37,58.69,63.31
2025-10-26,PROD_007,Puma Velocity Nitro 2,Running,Zapatillas Running,70,False,2.0,70.9,141.8,72.99,63.2,67.14
2025-10-26,PROD_008,Reebok Floatride Energy 5,Running,Zapatillas Running,65,False,2.0,63.92,127.84,59.51,60.47,61.29
2025-10-26,PROD_009,Bowflex SelectTech 552,Fitness,Mancuernas Ajustables,400,True,3.0,412.56,1237.68,392.51,335.83,363.27
2025-10-26,PROD_010,Domyos BM900,Fitness,Banco Gimnasio,175,True,3.0,178.41,535.23,177.85,169.49,170.34
2025-10-26,PROD_011,Reebok Professional Deck,Fitness,Esterilla Fitness,45,False,6.0,45.32,271.92,46.85,43.19,46.03
2025-10-26,PROD_012,Domyos Kit Mancuernas 20kg,Fitness,Pesas Casa,55,False,7.0,55.53,388.71,49.44,48.86,51.75
2025-10-26,PROD_013,Decathlon Bandas Elásticas Set,Fitness,Bandas Elásticas,25,False,1.0,25.11,25.11,25.39,21.99,25.87
2025-10-26,PROD_014,Sveltus Kettlebell 12kg,Fitness,Pesa Rusa,40,False,8.0,39.44,315.52,38.68,36.5,38.96
2025-10-26,PROD_015,Salomon Speedcross 5 GTX,Outdoor,Zapatillas Trail,150,True,5.0,147.92,739.5999999999999,135.05,156.74,129.76
2025-10-26,PROD_016,Trek Marlin 7,Outdoor,Bicicleta Montaña,830,True,4.0,776.35,3105.4,787.34,678.72,755.79
2025-10-26,PROD_017,The North Face Borealis,Outdoor,Mochila Trekking,95,False,1.0,95.84,95.84,83.99,87.44,97.75
2025-10-26,PROD_018,Columbia Silver Ridge,Outdoor,Ropa Montaña,70,False,5.0,71.16,355.79999999999995,65.42,64.23,72.28
2025-10-26,PROD_019,Merrell Moab 2 GTX,Outdoor,Zapatillas Trail,110,False,3.0,109.39,328.17,109.11,98.07,109.36
2025-10-26,PROD_020,Quechua MH500,Outdoor,Ropa Montaña,80,False,3.0,79.82,239.46,78.78,78.26,80.45
